blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,160661
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037084837
sample_count,134826
duration_from_sample_count_ms,5000.000168
duration_error_ms,0.000168
duration_error_percent,0.000003

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
0,0.000000000,-32,-15.616000,-0.015616000
1,0.037084837,-36,-17.568000,-0.017568000
2,0.074169673,7,3.416000,0.003416000
3,0.111254510,-44,-21.472000,-0.021472000
4,0.148339346,-3,-1.464000,-0.001464000
5,0.185424183,-57,-27.816000,-0.027816000
6,0.222509019,-26,-12.688000,-0.012688000
7,0.259593856,-49,-23.912000,-0.023912000
8,0.296678692,-32,-15.616000,-0.015616000
9,0.333763529,-53,-25.864000,-0.025864000
10,0.370848365,-13,-6.344000,-0.006344000
11,0.407933202,-19,-9.272000,-0.009272000
12,0.445018038,-41,-20.008000,-0.020008000
13,0.482102875,-40,-19.520000,-0.019520000
14,0.519187711,-2,-0.976000,-0.000976000
15,0.556272548,-69,-33.672000,-0.033672000
16,0.593357384,17,8.296000,0.008296000
17,0.630442221,-52,-25.376000,-0.025376000
18,0.667527057,-32,-15.616000,-0.015616000
19,0.704611894,-11,-5.368000,-0.005368000
20,0.741696730,-38,-18.544000,-0.018544000
21,0.778781567,-21,-10.248000,-0.010248000
22,0.815866403,-54,-26.352000,-0.026352000
23,0.852951240,-51,-24.888000,-0.024888000
24,0.890036076,-4,-1.952000,-0.001952000
25,0.927120913,-28,-13.664000,-0.013664000
26,0.964205749,-69,-33.672000,-0.033672000
27,1.001290586,-10,-4.880000,-0.004880000
28,1.038375422,-20,-9.760000,-0.009760000
29,1.075460259,-45,-21.960000,-0.021960000
30,1.112545095,-13,-6.344000,-0.006344000
31,1.149629932,-31,-15.128000,-0.015128000
32,1.186714768,-76,-37.088000,-0.037088000
33,1.223799605,10,4.880000,0.004880000
34,1.260884441,-35,-17.080000,-0.017080000
35,1.297969278,-11,-5.368000,-0.005368000
36,1.335054114,-40,-19.520000,-0.019520000
37,1.372138951,31,15.128000,0.015128000
38,1.409223787,-22,-10.736000,-0.010736000
39,1.446308624,-32,-15.616000,-0.015616000
40,1.483393461,-17,-8.296000,-0.008296000
41,1.520478297,-6,-2.928000,-0.002928000
42,1.557563134,-36,-17.568000,-0.017568000
43,1.594647970,0,0.000000,0.000000000
44,1.631732807,-48,-23.424000,-0.023424000
45,1.668817643,-12,-5.856000,-0.005856000
46,1.705902480,-35,-17.080000,-0.017080000
47,1.742987316,-30,-14.640000,-0.014640000
48,1.780072153,-34,-16.592000,-0.016592000
49,1.817156989,-28,-13.664000,-0.013664000
50,1.854241826,13,6.344000,0.006344000
51,1.891326662,-21,-10.248000,-0.010248000
52,1.928411499,-44,-21.472000,-0.021472000
53,1.965496335,-19,-9.272000,-0.009272000
54,2.002581172,-35,-17.080000,-0.017080000
55,2.039666008,-8,-3.904000,-0.003904000
56,2.076750845,-27,-13.176000,-0.013176000
57,2.113835681,-39,-19.032000,-0.019032000
58,2.150920518,-28,-13.664000,-0.013664000
59,2.188005354,4,1.952000,0.001952000
60,2.225090191,-34,-16.592000,-0.016592000
61,2.262175027,-8,-3.904000,-0.003904000
62,2.299259864,3,1.464000,0.001464000
63,2.336344700,-48,-23.424000,-0.023424000
64,2.373429537,-45,-21.960000,-0.021960000
65,2.410514373,12,5.856000,0.005856000
66,2.447599210,-43,-20.984000,-0.020984000
67,2.484684046,-19,-9.272000,-0.009272000
68,2.521768883,-19,-9.272000,-0.009272000
69,2.558853719,-26,-12.688000,-0.012688000
70,2.595938556,-12,-5.856000,-0.005856000
71,2.633023392,-4,-1.952000,-0.001952000
72,2.670108229,16,7.808000,0.007808000
73,2.707193065,-37,-18.056000,-0.018056000
74,2.744277902,-20,-9.760000,-0.009760000
75,2.781362738,10,4.880000,0.004880000
76,2.818447575,-16,-7.808000,-0.007808000
77,2.855532411,-26,-12.688000,-0.012688000
78,2.892617248,-13,-6.344000,-0.006344000
79,2.929702085,-52,-25.376000,-0.025376000
80,2.966786921,0,0.000000,0.000000000
81,3.003871758,-30,-14.640000,-0.014640000
