blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,5282
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037194908
sample_count,134427
duration_from_sample_count_ms,4999.999853
duration_error_ms,-0.000147
duration_error_percent,-0.000003

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
0,0.000000000,27,13.176000,0.013176000
1,0.037194908,49,23.912000,0.023912000
2,0.074389815,16,7.808000,0.007808000
3,0.111584723,64,31.232000,0.031232000
4,0.148779631,77,37.576000,0.037576000
5,0.185974538,-2,-0.976000,-0.000976000
6,0.223169446,50,24.400000,0.024400000
7,0.260364354,40,19.520000,0.019520000
8,0.297559261,45,21.960000,0.021960000
9,0.334754169,29,14.152000,0.014152000
10,0.371949077,79,38.552000,0.038552000
11,0.409143984,21,10.248000,0.010248000
12,0.446338892,45,21.960000,0.021960000
13,0.483533800,44,21.472000,0.021472000
14,0.520728707,52,25.376000,0.025376000
15,0.557923615,-5,-2.440000,-0.002440000
16,0.595118523,48,23.424000,0.023424000
17,0.632313430,31,15.128000,0.015128000
18,0.669508338,-16,-7.808000,-0.007808000
19,0.706703246,62,30.256000,0.030256000
20,0.743898153,35,17.080000,0.017080000
21,0.781093061,30,14.640000,0.014640000
22,0.818287969,54,26.352000,0.026352000
23,0.855482876,52,25.376000,0.025376000
24,0.892677784,23,11.224000,0.011224000
25,0.929872692,64,31.232000,0.031232000
26,0.967067599,43,20.984000,0.020984000
27,1.004262507,73,35.624000,0.035624000
28,1.041457415,36,17.568000,0.017568000
29,1.078652322,54,26.352000,0.026352000
30,1.115847230,62,30.256000,0.030256000
31,1.153042138,56,27.328000,0.027328000
32,1.190237045,71,34.648000,0.034648000
33,1.227431953,32,15.616000,0.015616000
34,1.264626861,82,40.016000,0.040016000
35,1.301821768,84,40.992000,0.040992000
36,1.339016676,52,25.376000,0.025376000
37,1.376211584,43,20.984000,0.020984000
38,1.413406491,35,17.080000,0.017080000
39,1.450601399,15,7.320000,0.007320000
40,1.487796307,40,19.520000,0.019520000
41,1.524991214,72,35.136000,0.035136000
42,1.562186122,34,16.592000,0.016592000
43,1.599381030,68,33.184000,0.033184000
44,1.636575937,39,19.032000,0.019032000
45,1.673770845,52,25.376000,0.025376000
46,1.710965753,84,40.992000,0.040992000
47,1.748160660,27,13.176000,0.013176000
48,1.785355568,64,31.232000,0.031232000
49,1.822550476,60,29.280000,0.029280000
50,1.859745383,37,18.056000,0.018056000
51,1.896940291,73,35.624000,0.035624000
52,1.934135199,10,4.880000,0.004880000
53,1.971330106,27,13.176000,0.013176000
54,2.008525014,1,0.488000,0.000488000
55,2.045719922,39,19.032000,0.019032000
56,2.082914829,27,13.176000,0.013176000
57,2.120109737,18,8.784000,0.008784000
58,2.157304645,64,31.232000,0.031232000
59,2.194499552,25,12.200000,0.012200000
60,2.231694460,47,22.936000,0.022936000
61,2.268889368,86,41.968000,0.041968000
62,2.306084275,65,31.720000,0.031720000
63,2.343279183,59,28.792000,0.028792000
64,2.380474091,39,19.032000,0.019032000
65,2.417668998,53,25.864000,0.025864000
66,2.454863906,0,0.000000,0.000000000
67,2.492058814,53,25.864000,0.025864000
