blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,190282
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037194908
sample_count,134427
duration_from_sample_count_ms,4999.999853
duration_error_ms,-0.000147
duration_error_percent,-0.000003

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
0,0.000000000,-2070,-1010.160000,-1.010160000
1,0.037194908,-2040,-995.520000,-0.995520000
2,0.074389815,-2037,-994.056000,-0.994056000
3,0.111584723,-2065,-1007.720000,-1.007720000
4,0.148779631,-2022,-986.736000,-0.986736000
5,0.185974538,-1990,-971.120000,-0.971120000
6,0.223169446,-2023,-987.224000,-0.987224000
7,0.260364354,-1993,-972.584000,-0.972584000
8,0.297559261,-2018,-984.784000,-0.984784000
9,0.334754169,-2027,-989.176000,-0.989176000
10,0.371949077,-2053,-1001.864000,-1.001864000
11,0.409143984,-2021,-986.248000,-0.986248000
12,0.446338892,-2046,-998.448000,-0.998448000
13,0.483533800,-1977,-964.776000,-0.964776000
14,0.520728707,-2045,-997.960000,-0.997960000
15,0.557923615,-2025,-988.200000,-0.988200000
16,0.595118523,-1998,-975.024000,-0.975024000
17,0.632313430,-2026,-988.688000,-0.988688000
18,0.669508338,-2048,-999.424000,-0.999424000
19,0.706703246,-2018,-984.784000,-0.984784000
20,0.743898153,-2059,-1004.792000,-1.004792000
21,0.781093061,-2061,-1005.768000,-1.005768000
22,0.818287969,-2061,-1005.768000,-1.005768000
23,0.855482876,-2036,-993.568000,-0.993568000
24,0.892677784,-2048,-999.424000,-0.999424000
25,0.929872692,-2067,-1008.696000,-1.008696000
26,0.967067599,-2045,-997.960000,-0.997960000
27,1.004262507,-2085,-1017.480000,-1.017480000
28,1.041457415,-2052,-1001.376000,-1.001376000
29,1.078652322,-2043,-996.984000,-0.996984000
30,1.115847230,-2036,-993.568000,-0.993568000
31,1.153042138,-2043,-996.984000,-0.996984000
32,1.190237045,-2045,-997.960000,-0.997960000
33,1.227431953,-1995,-973.560000,-0.973560000
34,1.264626861,-2077,-1013.576000,-1.013576000
35,1.301821768,-2027,-989.176000,-0.989176000
36,1.339016676,-1996,-974.048000,-0.974048000
37,1.376211584,-2017,-984.296000,-0.984296000
38,1.413406491,-2015,-983.320000,-0.983320000
39,1.450601399,-2059,-1004.792000,-1.004792000
40,1.487796307,-2034,-992.592000,-0.992592000
41,1.524991214,-2032,-991.616000,-0.991616000
42,1.562186122,-1993,-972.584000,-0.972584000
43,1.599381030,-1999,-975.512000,-0.975512000
44,1.636575937,-2020,-985.760000,-0.985760000
45,1.673770845,-2027,-989.176000,-0.989176000
46,1.710965753,-2019,-985.272000,-0.985272000
47,1.748160660,-2048,-999.424000,-0.999424000
48,1.785355568,-2072,-1011.136000,-1.011136000
49,1.822550476,-2049,-999.912000,-0.999912000
50,1.859745383,-2023,-987.224000,-0.987224000
51,1.896940291,-2032,-991.616000,-0.991616000
52,1.934135199,-2051,-1000.888000,-1.000888000
53,1.971330106,-2056,-1003.328000,-1.003328000
54,2.008525014,-2037,-994.056000,-0.994056000
55,2.045719922,-2036,-993.568000,-0.993568000
56,2.082914829,-2054,-1002.352000,-1.002352000
57,2.120109737,-2064,-1007.232000,-1.007232000
58,2.157304645,-2047,-998.936000,-0.998936000
59,2.194499552,-2059,-1004.792000,-1.004792000
60,2.231694460,-2041,-996.008000,-0.996008000
61,2.268889368,-2045,-997.960000,-0.997960000
62,2.306084275,-2039,-995.032000,-0.995032000
63,2.343279183,-1976,-964.288000,-0.964288000
64,2.380474091,-2033,-992.104000,-0.992104000
65,2.417668998,-2028,-989.664000,-0.989664000
66,2.454863906,-2054,-1002.352000,-1.002352000
67,2.492058814,-2029,-990.152000,-0.990152000
68,2.529253721,-2025,-988.200000,-0.988200000
69,2.566448629,-2030,-990.640000,-0.990640000
70,2.603643537,-2037,-994.056000,-0.994056000
71,2.640838444,-2034,-992.592000,-0.992592000
72,2.678033352,-2038,-994.544000,-0.994544000
73,2.715228260,-2061,-1005.768000,-1.005768000
74,2.752423167,-2062,-1006.256000,-1.006256000
75,2.789618075,-1987,-969.656000,-0.969656000
76,2.826812983,-2065,-1007.720000,-1.007720000
77,2.864007890,-2009,-980.392000,-0.980392000
78,2.901202798,-2032,-991.616000,-0.991616000
79,2.938397706,-2010,-980.880000,-0.980880000
80,2.975592613,-2048,-999.424000,-0.999424000
81,3.012787521,-2039,-995.032000,-0.995032000
82,3.049982429,-2048,-999.424000,-0.999424000
83,3.087177336,-2019,-985.272000,-0.985272000
84,3.124372244,-2036,-993.568000,-0.993568000
85,3.161567152,-2020,-985.760000,-0.985760000
86,3.198762059,-2047,-998.936000,-0.998936000
87,3.235956967,-2072,-1011.136000,-1.011136000
88,3.273151875,-2031,-991.128000,-0.991128000
89,3.310346782,-2028,-989.664000,-0.989664000
90,3.347541690,-2048,-999.424000,-0.999424000
91,3.384736598,-2041,-996.008000,-0.996008000
92,3.421931505,-2008,-979.904000,-0.979904000
93,3.459126413,-2026,-988.688000,-0.988688000
94,3.496321321,-2076,-1013.088000,-1.013088000
95,3.533516228,-2077,-1013.576000,-1.013576000
96,3.570711136,-2066,-1008.208000,-1.008208000
97,3.607906044,-2026,-988.688000,-0.988688000
98,3.645100951,-2026,-988.688000,-0.988688000
99,3.682295859,-2035,-993.080000,-0.993080000
100,3.719490767,-2047,-998.936000,-0.998936000
101,3.756685674,-2078,-1014.064000,-1.014064000
102,3.793880582,-2035,-993.080000,-0.993080000
103,3.831075490,-2047,-998.936000,-0.998936000
104,3.868270397,-2058,-1004.304000,-1.004304000
105,3.905465305,-1997,-974.536000,-0.974536000
106,3.942660213,-2067,-1008.696000,-1.008696000
107,3.979855120,-2035,-993.080000,-0.993080000
108,4.017050028,-2058,-1004.304000,-1.004304000
109,4.054244936,-2028,-989.664000,-0.989664000
110,4.091439843,-2028,-989.664000,-0.989664000
111,4.128634751,-2016,-983.808000,-0.983808000
112,4.165829659,-2052,-1001.376000,-1.001376000
113,4.203024566,-2017,-984.296000,-0.984296000
114,4.240219474,-2033,-992.104000,-0.992104000
115,4.277414382,-2036,-993.568000,-0.993568000
116,4.314609289,-2071,-1010.648000,-1.010648000
117,4.351804197,-2022,-986.736000,-0.986736000
118,4.388999104,-2023,-987.224000,-0.987224000
119,4.426194012,-2063,-1006.744000,-1.006744000
120,4.463388920,-2026,-988.688000,-0.988688000
121,4.500583827,-2024,-987.712000,-0.987712000
122,4.537778735,-2067,-1008.696000,-1.008696000
123,4.574973643,-2017,-984.296000,-0.984296000
124,4.612168550,-2068,-1009.184000,-1.009184000
125,4.649363458,-2044,-997.472000,-0.997472000
126,4.686558366,-2040,-995.520000,-0.995520000
127,4.723753273,-2073,-1011.624000,-1.011624000
128,4.760948181,-2002,-976.976000,-0.976976000
129,4.798143089,-2075,-1012.600000,-1.012600000
130,4.835337996,-1982,-967.216000,-0.967216000
131,4.872532904,-2040,-995.520000,-0.995520000
132,4.909727812,-2029,-990.152000,-0.990152000
133,4.946922719,-2063,-1006.744000,-1.006744000
134,4.984117627,-2062,-1006.256000,-1.006256000
135,5.021312535,-2049,-999.912000,-0.999912000
136,5.058507442,-2030,-990.640000,-0.990640000
137,5.095702350,-2042,-996.496000,-0.996496000
138,5.132897258,-2026,-988.688000,-0.988688000
139,5.170092165,-2034,-992.592000,-0.992592000
140,5.207287073,-2019,-985.272000,-0.985272000
141,5.244481981,-2063,-1006.744000,-1.006744000
142,5.281676888,-2050,-1000.400000,-1.000400000
143,5.318871796,-2031,-991.128000,-0.991128000
144,5.356066704,-2028,-989.664000,-0.989664000
145,5.393261611,-1979,-965.752000,-0.965752000
146,5.430456519,-2030,-990.640000,-0.990640000
147,5.467651427,-2038,-994.544000,-0.994544000
148,5.504846334,-2062,-1006.256000,-1.006256000
149,5.542041242,-2046,-998.448000,-0.998448000
150,5.579236150,-2025,-988.200000,-0.988200000
151,5.616431057,-2085,-1017.480000,-1.017480000
152,5.653625965,-2045,-997.960000,-0.997960000
153,5.690820873,-2033,-992.104000,-0.992104000
154,5.728015780,-2041,-996.008000,-0.996008000
155,5.765210688,-2004,-977.952000,-0.977952000
156,5.802405596,-2059,-1004.792000,-1.004792000
157,5.839600503,-2039,-995.032000,-0.995032000
158,5.876795411,-2048,-999.424000,-0.999424000
159,5.913990319,-2027,-989.176000,-0.989176000
160,5.951185226,-2026,-988.688000,-0.988688000
161,5.988380134,-2056,-1003.328000,-1.003328000
162,6.025575042,-2026,-988.688000,-0.988688000
163,6.062769949,-2063,-1006.744000,-1.006744000
164,6.099964857,-2067,-1008.696000,-1.008696000
165,6.137159765,-2082,-1016.016000,-1.016016000
166,6.174354672,-2061,-1005.768000,-1.005768000
167,6.211549580,-1991,-971.608000,-0.971608000
168,6.248744488,-2020,-985.760000,-0.985760000
169,6.285939395,-1998,-975.024000,-0.975024000
170,6.323134303,-2068,-1009.184000,-1.009184000
171,6.360329211,-2086,-1017.968000,-1.017968000
172,6.397524118,-2035,-993.080000,-0.993080000
173,6.434719026,-2062,-1006.256000,-1.006256000
174,6.471913934,-2049,-999.912000,-0.999912000
175,6.509108841,-2046,-998.448000,-0.998448000
176,6.546303749,-2081,-1015.528000,-1.015528000
177,6.583498657,-2016,-983.808000,-0.983808000
178,6.620693564,-1993,-972.584000,-0.972584000
179,6.657888472,-2082,-1016.016000,-1.016016000
180,6.695083380,-2004,-977.952000,-0.977952000
181,6.732278287,-2016,-983.808000,-0.983808000
182,6.769473195,-1994,-973.072000,-0.973072000
183,6.806668103,-2014,-982.832000,-0.982832000
184,6.843863010,-2041,-996.008000,-0.996008000
185,6.881057918,-2048,-999.424000,-0.999424000
186,6.918252826,-2060,-1005.280000,-1.005280000
187,6.955447733,-2045,-997.960000,-0.997960000
188,6.992642641,-2038,-994.544000,-0.994544000
189,7.029837549,-2036,-993.568000,-0.993568000
190,7.067032456,-2041,-996.008000,-0.996008000
191,7.104227364,-2059,-1004.792000,-1.004792000
192,7.141422272,-2035,-993.080000,-0.993080000
193,7.178617179,-2026,-988.688000,-0.988688000
194,7.215812087,-2020,-985.760000,-0.985760000
195,7.253006995,-2048,-999.424000,-0.999424000
196,7.290201902,-2021,-986.248000,-0.986248000
197,7.327396810,-2078,-1014.064000,-1.014064000
198,7.364591718,-2043,-996.984000,-0.996984000
199,7.401786625,-2048,-999.424000,-0.999424000
200,7.438981533,-2087,-1018.456000,-1.018456000
201,7.476176441,-1992,-972.096000,-0.972096000
202,7.513371348,-2062,-1006.256000,-1.006256000
203,7.550566256,-1988,-970.144000,-0.970144000
204,7.587761164,-2076,-1013.088000,-1.013088000
205,7.624956071,-2048,-999.424000,-0.999424000
206,7.662150979,-2039,-995.032000,-0.995032000
207,7.699345887,-2002,-976.976000,-0.976976000
208,7.736540794,-1994,-973.072000,-0.973072000
209,7.773735702,-2044,-997.472000,-0.997472000
210,7.810930610,-2058,-1004.304000,-1.004304000
211,7.848125517,-2051,-1000.888000,-1.000888000
212,7.885320425,-2026,-988.688000,-0.988688000
