blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,93472
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037185226
sample_count,134462
duration_from_sample_count_ms,4999.999809
duration_error_ms,-0.000191
duration_error_percent,-0.000004

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
0,0.000000000,-20,-9.760000,-0.009760000
1,0.037185226,-36,-17.568000,-0.017568000
2,0.074370451,-27,-13.176000,-0.013176000
3,0.111555677,-30,-14.640000,-0.014640000
4,0.148740903,-43,-20.984000,-0.020984000
5,0.185926128,-46,-22.448000,-0.022448000
6,0.223111354,29,14.152000,0.014152000
7,0.260296579,-44,-21.472000,-0.021472000
8,0.297481805,-3,-1.464000,-0.001464000
9,0.334667031,-60,-29.280000,-0.029280000
10,0.371852256,-24,-11.712000,-0.011712000
11,0.409037482,-10,-4.880000,-0.004880000
12,0.446222708,-16,-7.808000,-0.007808000
13,0.483407933,8,3.904000,0.003904000
14,0.520593159,-35,-17.080000,-0.017080000
15,0.557778385,14,6.832000,0.006832000
16,0.594963610,-20,-9.760000,-0.009760000
17,0.632148836,-8,-3.904000,-0.003904000
18,0.669334061,-16,-7.808000,-0.007808000
19,0.706519287,9,4.392000,0.004392000
20,0.743704513,-39,-19.032000,-0.019032000
21,0.780889738,-35,-17.080000,-0.017080000
22,0.818074964,-10,-4.880000,-0.004880000
23,0.855260190,8,3.904000,0.003904000
24,0.892445415,-38,-18.544000,-0.018544000
25,0.929630641,-37,-18.056000,-0.018056000
26,0.966815867,-7,-3.416000,-0.003416000
27,1.004001092,-40,-19.520000,-0.019520000
28,1.041186318,-27,-13.176000,-0.013176000
29,1.078371543,-31,-15.128000,-0.015128000
30,1.115556769,8,3.904000,0.003904000
31,1.152741995,-14,-6.832000,-0.006832000
32,1.189927220,-18,-8.784000,-0.008784000
33,1.227112446,-47,-22.936000,-0.022936000
34,1.264297672,-48,-23.424000,-0.023424000
35,1.301482897,-16,-7.808000,-0.007808000
36,1.338668123,-37,-18.056000,-0.018056000
37,1.375853349,-32,-15.616000,-0.015616000
38,1.413038574,5,2.440000,0.002440000
39,1.450223800,-35,-17.080000,-0.017080000
40,1.487409025,-30,-14.640000,-0.014640000
41,1.524594251,-5,-2.440000,-0.002440000
42,1.561779477,-25,-12.200000,-0.012200000
43,1.598964702,-53,-25.864000,-0.025864000
44,1.636149928,13,6.344000,0.006344000
45,1.673335154,-4,-1.952000,-0.001952000
46,1.710520379,-54,-26.352000,-0.026352000
47,1.747705605,14,6.832000,0.006832000
48,1.784890831,-15,-7.320000,-0.007320000
49,1.822076056,-7,-3.416000,-0.003416000
50,1.859261282,-15,-7.320000,-0.007320000
51,1.896446507,-36,-17.568000,-0.017568000
52,1.933631733,-23,-11.224000,-0.011224000
53,1.970816959,-7,-3.416000,-0.003416000
54,2.008002184,-32,-15.616000,-0.015616000
55,2.045187410,-34,-16.592000,-0.016592000
56,2.082372636,-13,-6.344000,-0.006344000
57,2.119557861,-31,-15.128000,-0.015128000
58,2.156743087,-35,-17.080000,-0.017080000
59,2.193928313,9,4.392000,0.004392000
60,2.231113538,-19,-9.272000,-0.009272000
61,2.268298764,-14,-6.832000,-0.006832000
62,2.305483989,-20,-9.760000,-0.009760000
63,2.342669215,-42,-20.496000,-0.020496000
64,2.379854441,-4,-1.952000,-0.001952000
65,2.417039666,-69,-33.672000,-0.033672000
66,2.454224892,15,7.320000,0.007320000
67,2.491410118,-77,-37.576000,-0.037576000
68,2.528595343,9,4.392000,0.004392000
69,2.565780569,-44,-21.472000,-0.021472000
70,2.602965795,-33,-16.104000,-0.016104000
71,2.640151020,10,4.880000,0.004880000
72,2.677336246,14,6.832000,0.006832000
73,2.714521471,-24,-11.712000,-0.011712000
74,2.751706697,-1,-0.488000,-0.000488000
75,2.788891923,-32,-15.616000,-0.015616000
76,2.826077148,-17,-8.296000,-0.008296000
77,2.863262374,-50,-24.400000,-0.024400000
78,2.900447600,-9,-4.392000,-0.004392000
79,2.937632825,12,5.856000,0.005856000
80,2.974818051,-30,-14.640000,-0.014640000
81,3.012003276,-38,-18.544000,-0.018544000
82,3.049188502,-9,-4.392000,-0.004392000
83,3.086373728,-27,-13.176000,-0.013176000
84,3.123558953,-7,-3.416000,-0.003416000
